,year,day,time,play,park
0,2016,06.01(수),18:30,KIA5vs1LG,잠실
1,2016,06.02(목),18:30,KIA1vs9LG,잠실
2,2016,06.03(금),18:30,LG2vs3KT,수원
3,2016,06.04(토),17:00,LG13vs4KT,수원
4,2016,06.05(일),17:00,LG2vs10KT,수원
5,2016,06.07(화),18:30,삼성8vs5LG,잠실
6,2016,06.08(수),18:30,삼성6vs12LG,잠실
7,2016,06.09(목),18:30,삼성4vs10LG,잠실
8,2016,06.10(금),18:30,LG1vs2한화,대전
9,2016,06.11(토),17:00,LG5vs3한화,대전
10,2016,06.12(일),17:00,LG5vs6한화,대전
11,2016,06.14(화),18:30,NC10vs7LG,잠실
12,2016,06.16(목),18:30,NC3vs0LG,잠실
13,2016,06.17(금),18:30,KIA6vs3LG,잠실
14,2016,06.18(토),17:00,KIA1vs7LG,잠실
15,2016,06.19(일),17:00,KIA9vs5LG,잠실
16,2016,06.21(화),18:30,LG9vs5SK,문학
17,2016,06.22(수),18:30,LG2vs10SK,문학
18,2016,06.23(목),18:30,LG2vs10SK,문학
19,2016,06.24(금),18:30,넥센7vs9LG,잠실
20,2016,06.25(토),17:00,넥센8vs6LG,잠실
21,2016,06.26(일),17:00,넥센1vs2LG,잠실
22,2016,06.28(화),18:30,LG2vs11KIA,광주
23,2016,06.29(수),18:30,LG4vs5KIA,광주
24,2016,06.30(목),18:30,LG10vs9KIA,광주
25,2016,07.02(토),18:00,SK4vs2LG,잠실
26,2016,07.03(일),18:00,SK9vs7LG,잠실
27,2016,07.05(화),18:30,LG3vs7삼성,대구
28,2016,07.07(목),18:30,LG11vs12삼성,대구
29,2016,07.08(금),18:30,LG5vs8롯데,사직
30,2016,07.09(토),18:00,LG12vs13롯데,사직
31,2016,07.10(일),18:00,LG6vs0롯데,사직
32,2016,07.12(화),18:30,한화4vs5LG,잠실
33,2016,07.13(수),18:30,한화7vs5LG,잠실
34,2016,07.14(목),18:30,한화7vs4LG,잠실
35,2016,07.19(화),18:30,LG12vs6넥센,고척
36,2016,07.20(수),18:30,LG3vs7넥센,고척
37,2016,07.21(목),18:30,LG4vs7넥센,고척
38,2016,07.22(금),18:30,두산14vs3LG,잠실
39,2016,07.23(토),18:00,두산7vs9LG,잠실
40,2016,07.24(일),18:00,두산3vs2LG,잠실
41,2016,07.26(화),18:30,롯데12vs10LG,잠실
42,2016,07.27(수),18:30,롯데1vs7LG,잠실
43,2016,07.28(목),18:30,롯데2vs5LG,잠실
44,2016,07.29(금),18:30,LG2vs1NC,마산
45,2016,07.30(토),18:00,LG13vs5NC,마산
46,2016,07.31(일),18:00,LG8vs10NC,마산
47,2016,08.02(화),18:30,LG1vs12두산,잠실
48,2016,08.03(수),18:30,LG7vs5두산,잠실
49,2016,08.04(목),18:30,LG6vs5두산,잠실
50,2016,08.05(금),18:30,KT1vs12LG,잠실
51,2016,08.06(토),18:00,KT1vs4LG,잠실
52,2016,08.07(일),18:00,KT4vs10LG,잠실
53,2016,08.09(화),18:30,LG9vs4SK,문학
54,2016,08.10(수),18:30,LG5vs3SK,문학
55,2016,08.11(목),18:30,NC2vs4LG,잠실
56,2016,08.12(금),18:30,NC5vs6LG,잠실
57,2016,08.13(토),18:00,LG5vs8삼성,대구
58,2016,08.14(일),18:00,LG2vs6삼성,대구
59,2016,08.16(화),18:30,SK4vs11LG,잠실
60,2016,08.17(수),18:30,SK10vs6LG,잠실
61,2016,08.18(목),18:30,한화8vs5LG,잠실
62,2016,08.19(금),18:30,한화2vs3LG,잠실
63,2016,08.20(토),18:00,LG2vs3KIA,광주
64,2016,08.21(일),18:00,LG9vs8KIA,광주
65,2016,08.23(화),18:30,LG6vs5두산,잠실
66,2016,08.24(수),18:30,LG6vs18두산,잠실
67,2016,08.25(목),18:30,LG9vs4넥센,고척
68,2016,08.26(금),18:30,LG3vs2넥센,고척
69,2016,08.27(토),18:00,KT2vs4LG,잠실
70,2016,08.28(일),18:00,KT11vs4LG,잠실
71,2016,08.30(화),18:30,LG4vs8롯데,사직
72,2016,08.31(수),18:30,LG1vs9롯데,사직
73,2016,09.01(목),18:30,LG7vs2한화,대전
74,2016,09.02(금),18:30,LG6vs11한화,대전
75,2016,09.03(토),17:00,LG3vs6KT,수원
76,2016,09.04(일),14:00,LG3vs4KT,수원
77,2016,09.06(화),18:30,넥센2vs5LG,잠실
78,2016,09.07(수),18:30,넥센0vs11LG,잠실
79,2016,09.08(목),18:30,두산4vs2LG,잠실
80,2016,09.09(금),18:30,두산4vs10LG,잠실
81,2016,09.10(토),17:00,롯데6vs9LG,잠실
82,2016,09.11(일),14:00,롯데8vs12LG,잠실
83,2016,09.13(화),18:30,LG4vs3NC,마산
84,2016,09.14(수),14:00,LG4vs8NC,마산
85,2016,09.15(목),14:00,KIA3vs5LG,잠실
86,2016,09.16(금),14:00,KIA1vs3LG,잠실
87,2016,09.17(토),14:00,삼성2vs3LG,잠실
88,2016,09.18(일),14:00,삼성0vs5LG,잠실
89,2016,09.20(화),18:30,LG11vs3한화,대전
90,2016,09.21(수),18:30,NC1vs1LG,잠실
91,2016,09.24(토),17:00,한화12vs7LG,잠실
92,2016,09.27(화),18:30,LG6vs1KIA,광주
93,2016,09.30(금),18:30,SK5vs3LG,잠실
